iter	Logloss
0	0.6918165649
1	0.690991462
2	0.6901455076
3	0.6892084113
4	0.6886754965
5	0.6872430487
6	0.6862391887
7	0.6844075562
8	0.6837596597
9	0.6833295075
10	0.6826647514
11	0.682078069
12	0.6811646421
13	0.6804237541
14	0.6799050156
15	0.6792745637
16	0.6779991277
17	0.6777090122
18	0.6769994571
19	0.6764073387
20	0.6758403277
21	0.6748243619
22	0.674234074
23	0.6734380481
24	0.6724926529
25	0.6715991028
26	0.6708800568
27	0.6700205781
28	0.6692822816
29	0.6676833979
30	0.6671393882
31	0.6664274084
32	0.6654415958
33	0.6648924161
34	0.6640892528
35	0.6634141639
36	0.6627136531
37	0.6623446963
38	0.6618599308
39	0.6610343523
40	0.6603005577
41	0.6601181917
42	0.6593026707
43	0.6586879477
44	0.6581840044
45	0.6571552679
46	0.6566715456
47	0.6558720606
48	0.6553164077
49	0.6546622144
50	0.6539106391
51	0.653276606
52	0.6524754493
53	0.6514432057
54	0.6511457124
55	0.6508609957
56	0.6505689199
57	0.6492757558
58	0.6486398356
59	0.6479659385
60	0.6473316346
61	0.646371878
62	0.6459410911
63	0.6454717974
64	0.6447329114
65	0.6440594684
66	0.6435847826
67	0.6430123655
68	0.6422134517
69	0.6419592155
70	0.640892887
71	0.6401324016
72	0.639075758
73	0.6379335047
74	0.6367411992
75	0.6364217094
76	0.6355731557
77	0.6350189105
78	0.6340309845
79	0.6338658916
80	0.6332855123
81	0.6328330598
82	0.6326576346
83	0.6321326376
84	0.6312118966
85	0.6305028213
86	0.6296367017
87	0.6291738864
88	0.628441485
89	0.6279856069
90	0.6275155306
91	0.6270802379
92	0.6261265689
93	0.6254190714
94	0.624821555
95	0.6243562839
96	0.6236538504
97	0.6233612135
98	0.6227210941
99	0.6223659172
100	0.6218627321
101	0.621067757
102	0.6208649452
103	0.6202686089
104	0.6195519815
105	0.6188106606
106	0.6181015488
107	0.6176342895
108	0.617055945
109	0.6166681732
110	0.6163491003
111	0.6157703264
112	0.6154766218
113	0.6149884839
114	0.6143091267
115	0.6136178498
116	0.6129694196
117	0.6123741499
118	0.611855746
119	0.61127919
120	0.6107416402
121	0.6103108157
122	0.609711305
123	0.6089523704
124	0.6084298787
125	0.607768505
126	0.6073179626
127	0.6069223851
128	0.6062741913
129	0.6058908688
130	0.6053654248
131	0.6047135234
132	0.604216741
133	0.60342102
134	0.6029086644
135	0.6022922649
136	0.6018193606
137	0.6014420417
138	0.6011278407
139	0.6004395216
140	0.5997795203
141	0.5994484811
142	0.5983697519
143	0.5976084609
144	0.5971515887
145	0.5967629325
146	0.5964193086
147	0.5955723858
148	0.5952124672
149	0.5944077413
150	0.5937684071
151	0.5932085694
152	0.5926593433
153	0.5919958643
154	0.5912719814
155	0.5903604697
156	0.5901525344
157	0.5894420683
158	0.5889840622
159	0.5884369292
160	0.5879775261
161	0.5872679527
162	0.5868348409
163	0.5860598889
164	0.5848488175
165	0.5841401703
166	0.5835164002
167	0.5828169918
168	0.5821573454
169	0.581496832
170	0.5803608659
171	0.5796809882
172	0.5787133458
173	0.5776494545
174	0.5762794176
175	0.5752294897
176	0.5740680908
177	0.5735783015
178	0.572433113
179	0.5718634858
180	0.5706178454
181	0.5700632471
182	0.5688240462
183	0.5685796384
184	0.5681272744
185	0.5675059962
186	0.5669169159
187	0.566396834
188	0.5654094318
189	0.5648980794
190	0.5635878033
191	0.5632681704
192	0.562457399
193	0.5616476144
194	0.5606904927
195	0.560071353
196	0.5593593303
197	0.5587049579
198	0.5581444771
199	0.5578139584
