iter	Passed	Remaining
0	0	152
1	1	148
2	2	148
3	3	180
4	4	172
5	5	168
6	5	164
7	6	158
8	7	155
9	8	152
10	8	149
11	9	148
12	10	147
13	10	145
14	11	144
15	12	142
16	13	141
17	13	139
18	14	139
19	15	137
20	16	136
21	16	135
22	17	134
23	18	133
24	18	132
25	19	131
26	20	130
27	21	129
28	22	130
29	22	129
30	23	128
31	24	128
32	25	126
33	25	125
34	26	124
35	27	123
36	27	123
37	28	122
38	29	120
39	29	119
40	30	118
41	31	117
42	32	117
43	32	116
44	33	115
45	34	115
46	35	114
47	35	113
48	36	112
49	37	111
50	37	110
51	38	109
52	39	108
53	39	108
54	40	107
55	41	106
56	42	105
57	42	104
58	43	104
59	44	103
60	44	102
61	45	101
62	46	100
63	46	99
64	47	99
65	48	98
66	49	97
67	49	96
68	50	96
69	51	95
70	52	94
71	52	94
72	53	93
73	54	92
74	55	91
75	55	90
76	56	90
77	57	89
78	58	88
79	58	88
80	59	87
81	60	86
82	60	85
83	61	85
84	62	84
85	63	83
86	63	82
87	64	82
88	65	81
89	66	80
90	66	80
91	67	79
92	68	78
93	69	77
94	69	77
95	70	76
96	71	75
97	71	74
98	72	74
99	73	73
100	73	72
101	74	71
102	75	71
103	76	70
104	77	69
105	77	69
106	78	68
107	79	67
108	80	66
109	80	66
110	81	65
111	82	64
112	82	63
113	83	62
114	84	62
115	84	61
116	85	60
117	86	60
118	87	59
119	87	58
120	88	57
121	89	57
122	89	56
123	90	55
124	91	55
125	92	54
126	93	53
127	93	52
128	94	52
129	95	51
130	96	50
131	97	50
132	98	49
133	98	48
134	99	47
135	100	47
136	100	46
137	101	45
138	102	44
139	102	44
140	103	43
141	104	42
142	105	41
143	105	41
144	106	40
145	107	39
146	108	38
147	109	38
148	109	37
149	110	36
150	111	36
151	112	35
152	112	34
153	113	33
154	114	33
155	114	32
156	115	31
157	116	30
158	116	30
159	117	29
160	118	28
161	118	27
162	119	27
163	120	26
164	121	25
165	121	24
166	122	24
167	123	23
168	124	22
169	124	22
170	125	21
171	127	20
172	127	19
173	128	19
174	129	18
175	129	17
176	130	16
177	131	16
178	132	15
179	132	14
180	133	14
181	134	13
182	135	12
183	135	11
184	136	11
185	137	10
186	138	9
187	139	8
188	139	8
189	140	7
190	141	6
191	141	5
192	142	5
193	143	4
194	144	3
195	144	2
196	145	2
197	146	1
198	146	0
199	147	0
