iter	Passed	Remaining
0	23	7017
1	32	4801
2	49	4929
3	64	4765
4	80	4737
5	143	7017
6	170	71537	182	6646
8	209	6784
9	240	6979
10	271	7141
111	288	6922112	301	664813	317	6486
114	351	6686115	380	676216	401	6690
17	444	6970
18	456	6750
19	465	6522
220	479	637421	502	6349
22	528	6359
23	550	6325
24	562	6182
25	596	6287
26	606	6130
27	643	6254
28	653	6106
29	678	6108
30	705	6121
31	723	6060
32	738	5977
33	747	5846
34	756	5727
35	776	5692
36	827	5881
37	847	5843
38	854	5720
339	895	5822440	904	5716441	927	569542	949	5675
43	975	5676
44	1002	5682
45	1012	5589
46	1030	5549
47	1038	54548	1069	5477
49	1089	5446
50	1129	5516
51	1147	5474
52	1161	5413
53	1182	5384
54	1205	5368
55	1234	5377
56	1251	5333
57	1260	5258
58	1269	5184
59	1298	5195
6060	1323	51861	1360	5223
62	1369	5153
6363	1388	5119
64	1418	5128
65	1427	5066666	1448	5036767	1469	50168	1513	5068
69	1538	5056
70	1559	5028
71	1590	5036
72	1600	4975
73	1613	4927
74	1643	4931
75	1679	4950
76	1694	4906
77	1703	4848
78	1727	4831
79	1768	4864
80	1777	4807
81	1786	4749
82	1803	4714
83	1826	4697
84	1864	4716
85	1874	4664
86	1883	4611
87	1909	4599
88	1917	4546
89	1926	4495
90	1935	4444
91	1962	4437
92	2000	4452
93	2040	4471
94	2077	4483
95	2086	4433
96	2110	4417
97	2119	4369
98	2138	4341
99	2157	4314
100	2193	4321
101	2203	4278
102	2265	4332
103	2338	4406
104	2384	4427
105	2401	4394
106	2433	4390
107	2450	4356
108	2486	4357
109	2498	4316
110	2521	4292
111	2537	4260
112	2545	4213
113	2554	4168
114	2563	4124
11115	2578	408116	2652	4148
117	2662	4106
118	2688	4088
119	2707	4060
120	2742	4057
121	2767	4038
122	2778	3998
123	2788	3957
124	2798	3917
125	2806	3875
126	2836	3863
127	2857	3839
128	2866	3799
129	2902	3794
130	2913	3758
131	2941	3743
132	2950	3705
133	2968	3676
134	2994	3659
135	3033	3658
136	3059	3640
137	3080	3616
138	3090	3579
139	3100	3543
14140	3121	35214141	3143	349142	3190	3502
143	3225	3493
144	3238	3461
145	3253	3431
146	3261	3394
14147	3277	3366
148	3287	33314149	3329	33215150	3338	329151	3364	3276
15152	3389	325153	3409	3232
154	3436	3214
155	3453	3187
15156	3470	3160
157	3482	31315158	3504	3107
159	3538	30916160	3547	30616161	3582	30516162	3611	3035
163	3635	3015
164	3650	29816165	3679	29716166	3709	295167	3733	2933
168	3766	2919
169	3782	2892
170	3798	2865
171	3834	2853
172	3844	2822
173	3853	2790
17174	3860	27517175	3900	274176	3931	2732
177	3947	2705
178	3970	2683
179	4000	2667
180	4009	2636
181	4047	2623
182	4060	2595
183	4080	2572
184	4104	2551
185	4128	2530
186	4143	2503
187	4152	2473
188	4161	2444
189	4209	2437
190	4237	2418
191	4265	2399
192	4278	2371
193	4293	2345
194	4301	2316
195	4325	2295
196	4365	2282
197	4380	2256
198	4413	2240
199	4453	2226
200	4464	2199
201	4473	2170
202	4490	2145
203	4499	2117
204	4547	2107
205	4564	2082
206	4573	2054
207	4580	2026
208	4613	2008
209	4622	1981
210	4641	1957
211	4672	1939
212	4685	1913
213	4711	1893
214	4720	1866
215	4760	1851
216	4768	1823
217	4777	1797
218	4787	1770
219	4795	1743
220	4829	1726
221	4871	1711
222	4883	1686
223	4910	1666
224	4919	1639
225	4958	1623
226	4978	1601
227	5001	1579
228	5018	1555
229	5026	1529
230	5033	1503
231	5042	1478
232	5058	228	5233	5068	229	5234	5090	1408
235	5097	231	523236	510232	5237	5139	1338
238	5148	234	5239	5168	235	5240	5184	236	524241	5202	1246
242	5222	1225
243	5232	1200
244	5244	1177
245	5256	1153
246	5266	1130
247	5290	1109
248	5298	1085
249	5313	10625250	5323	10325251	5336	10125252	5352	994
253	5362	971
254	5372	948
255	5381	9251256	5398	9025257	5420	8822258	5431	8525259	5449	8326260	5457	81261	5492	796
26262	5491	77263	5523	753
26264	5526	729
265	5544	708
266	5557	686
267	5578	666
268	5587	643
269	5597	621
270	5605	599
271	5629	579
272	5645	558
273	5655	536
274	5667	515
275	5684	494
276	5693	472
277	5721	452
278	5743	432
279	5762	411
280	5770	390
281	5778	368
282	5787	347
283	5797	326
284	5805	305
285	5827	285
286	5836	264
287	5847	243
288	5867	223
289	5876	202
290	5902	182
291	5925	162
292	5933	141
293	5942	121
294	5958	100
295	5970	80
296	5984	60
297	5989	40
298	5999	20
299	6006294	6715	113
295	6728	90
296	6739	68
297	6753	45
298	6762	22
299	6771	0
	0
