ma_reg,ema_reg,slope_vol_reg,macd_reg,kalman_reg,fib_reg,psar_reg,zscore_reg,wret_reg,true_regime,inst,time
2,2,0,2,2,0,0,2,0,2,0,749
0,0,0,0,0,0,0,0,0,0,1,749
2,2,2,2,2,1,2,2,2,2,2,749
0,0,2,2,0,0,2,0,2,0,3,749
0,0,0,2,0,0,2,0,0,0,4,749
0,0,0,0,0,0,0,1,0,2,5,749
2,2,0,2,2,2,2,2,2,0,6,749
0,0,0,0,0,0,0,0,0,0,7,749
2,2,0,2,2,2,2,2,2,2,8,749
2,2,0,2,2,0,0,2,2,2,9,749
2,2,2,2,2,2,2,2,2,0,10,749
0,0,0,2,0,0,0,1,2,0,11,749
0,0,0,0,0,0,0,0,0,0,12,749
0,0,0,0,0,0,2,0,0,0,13,749
2,2,2,2,2,0,0,2,2,0,14,749
0,0,2,2,0,1,0,1,2,0,15,749
2,2,0,2,2,2,2,2,2,2,16,749
2,2,0,2,2,2,2,2,2,2,17,749
2,2,0,2,2,2,0,2,2,2,18,749
2,2,2,2,2,0,0,2,2,2,19,749
2,0,2,2,0,0,0,1,2,0,20,749
2,2,2,2,2,1,2,2,2,2,21,749
0,0,0,0,0,0,0,0,2,0,22,749
2,2,0,2,2,1,0,2,2,2,23,749
0,0,0,0,0,0,2,0,0,2,24,749
0,0,0,2,0,0,0,0,0,2,25,749
2,2,2,0,2,1,2,2,2,0,26,749
0,0,0,0,0,0,0,0,0,0,27,749
0,0,0,0,0,0,0,0,0,0,28,749
0,0,0,0,0,0,0,0,0,2,29,749
2,2,0,2,2,2,0,2,2,2,30,749
2,2,2,2,2,2,2,2,2,2,31,749
2,2,0,2,2,2,2,2,2,2,32,749
2,2,2,2,2,1,0,2,2,2,33,749
0,0,0,0,0,0,0,0,0,0,34,749
0,0,0,0,0,0,0,0,0,2,35,749
2,2,0,2,2,1,0,2,2,2,36,749
2,2,0,2,2,0,0,2,2,2,37,749
2,0,0,2,0,0,0,1,0,0,38,749
0,0,0,2,0,0,0,0,2,0,39,749
0,0,0,0,0,0,0,0,0,0,40,749
2,2,2,2,2,2,2,1,2,0,41,749
0,0,0,0,0,0,0,0,0,0,42,749
2,2,0,2,2,2,2,2,2,2,43,749
2,2,0,2,2,2,2,2,2,0,44,749
2,2,0,2,2,2,2,2,2,2,45,749
2,2,0,0,2,1,0,2,2,2,46,749
0,0,0,0,0,0,0,0,0,0,47,749
0,0,0,0,0,0,2,0,0,0,48,749
0,0,0,0,0,0,0,0,0,0,49,749
